,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
64,Feature_65,"('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Time_Idle_Std', 0.0001170193675030084)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Bwd_Pkt_Length_Min', 4.638425648723925e-05)","('Time_Active_Max', 0.001031276703404924)","('ECE_Flag_Count', 0.0)"
65,Feature_66,"('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Active_Std', 0.00010395044230559342)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('UDP', 4.638425648723925e-05)","('Fwd_PSH_Flags', 0.0009234895738920016)","('Fwd_Segment_Size_Mean', 0.0)"
66,Feature_67,"('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('ECE_Flag_Count', 2.5278977741985368e-05)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Active_Min', 2.9019339443818375e-05)","('Time_Active_Mean', 0.0007647435576937949)","('Bwd_Segment_Size_Mean', 0.0)"
67,Feature_68,"('Bwd_Num_Bulk_Rate_Mean', 0.0)","('FIN_Flag_Count', 2.272817667676943e-05)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('Bwd_PSH_Flags', 0.0)","('Time_Active_Std', 0.0007512463561512059)","('Fwd_Header_Length_1', 0.0)"
68,Feature_69,"('Fwd_Seg_Size_Min', 0.0)","('Fwd_Header_Length_1', 1.9729827565344334e-05)","('Fwd_Subflow_Pkts', 0.0)","('Fwd_URG_Flags', 0.0)","('ECE_Flag_Count', 7.084442673274982e-06)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)"
69,Feature_70,"('Time_Active_Mean', 0.0)","('Fwd_Header_Length', 7.817797321934184e-06)","('Fwd_Subflow_Bytes', 0.0)","('Bwd_URG_Flags', 0.0)","('FIN_Flag_Count', 1.1016918833586027e-06)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)"
70,Feature_71,"('Time_Active_Std', 0.0)","('Bwd_PSH_Flags', 0.0)","('Bwd_Subflow_Pkts', 0.0)","('FIN_Flag_Count', 0.0)","('Bwd_PSH_Flags', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)"
71,Feature_72,"('Time_Active_Max', 0.0)","('Fwd_URG_Flags', 0.0)","('Bwd_Subflow_Bytes', 0.0)","('PSH_Flag_Count', 0.0)","('Fwd_URG_Flags', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)"
72,Feature_73,"('Time_Active_Min', 0.0)","('Bwd_URG_Flags', 0.0)","('Time_Active_Std', 0.0)","('ECE_Flag_Count', 0.0)","('Bwd_URG_Flags', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)"
73,Feature_74,"('Time_Idle_Mean', 0.0)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Active_Max', 0.0)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)"
74,Feature_75,"('Time_Idle_Std', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Active_Min', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Fwd_Subflow_Pkts', 0.0)"
75,Feature_76,"('Time_Idle_Max', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Time_Idle_Std', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Fwd_Subflow_Bytes', 0.0)"
76,Feature_77,"('Time_Idle_Min', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Idle_Max', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Bwd_Subflow_Pkts', 0.0)"
77,Feature_78,"('TCP', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Idle_Min', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Bwd_Subflow_Bytes', 0.0)"
78,Feature_79,"('UDP', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('TCP', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('TCP', 0.0)"
