,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
0,Feature_1,"('Fwd_Init_Win_Bytes', 0.6428306338135531)","('Fwd_Init_Win_Bytes', 0.13006379633919796)","('Pkt_Size_Mean', 0.36486617)","('Fwd_Init_Win_Bytes', 0.3760219415463435)","('Fwd_Init_Win_Bytes', 0.09528108518799236)","('Time_Idle_Std', 0.5322768)"
1,Feature_2,"('Pkt_Size_Mean', 0.1930210912747058)","('TCP', 0.07753190823840336)","('CWE_Flag_Count', 0.14011626)","('Pkt_Size_Mean', 0.2068695948593409)","('Pkt_Length_Min', 0.05587349828782531)","('CWE_Flag_Count', 0.09333151)"
2,Feature_3,"('ACK_Flag_Count', 0.06833403894335129)","('Pkt_Length_Min', 0.06621859113300392)","('Fwd_Init_Win_Bytes', 0.13416831)","('Pkt_Length_Max', 0.07462927073131587)","('Pkt_Size_Mean', 0.04205806720737576)","('Fwd_Pkt_Length_Std', 0.060551565)"
3,Feature_4,"('URG_Flag_Count', 0.018841893148837326)","('UDP', 0.05545832025128266)","('Fwd_Seg_Size_Min', 0.116157554)","('Fwd_Pkt_Length_Min', 0.06567930518050154)","('Fwd_Pkt_Length_Min', 0.042047606803231656)","('Fwd_Init_Win_Bytes', 0.039122608)"
4,Feature_5,"('Fwd_IAT_Std', 0.0170630742980684)","('PSH_Flag_Count', 0.04537413078590603)","('Fwd_PSH_Flags', 0.06968633)","('Fwd_IAT_Max', 0.05131909490594675)","('TCP', 0.04123283077516715)","('Pkt_Length_Min', 0.034679733)"
5,Feature_6,"('Flow_IAT_Max', 0.01288170243231033)","('URG_Flag_Count', 0.04036536486130466)","('URG_Flag_Count', 0.038217895)","('CWE_Flag_Count', 0.04801601448392197)","('Pkt_Length_Mean', 0.037273473862429074)","('URG_Flag_Count', 0.032568526)"
6,Feature_7,"('PSH_Flag_Count', 0.011608792134848533)","('Fwd_Pkt_Length_Min', 0.03883967725701086)","('Flow_Duration', 0.02600883)","('Flow_Bytes_Sec', 0.02923465408370106)","('Fwd_Pkt_Length_Mean', 0.03577847026175828)","('Down_Up_Ratio', 0.02600687)"
7,Feature_8,"('Fwd_PSH_Flags', 0.007789010462476875)","('Pkt_Size_Mean', 0.032571640316125056)","('PSH_Flag_Count', 0.017169759)","('Bwd_IAT_Min', 0.026934902799784933)","('Fwd_Subflow_Bytes', 0.034537030127593266)","('Bwd_Pkt_Length_Min', 0.025988687)"
8,Feature_9,"('Fwd_Total_Pkts', 0.006817833494654901)","('Fwd_IAT_Total', 0.02891790669537423)","('Bwd_IAT_Min', 0.016114924)","('Fwd_IAT_Total', 0.02527804240840626)","('Fwd_Pkt_Length_Max', 0.034192827957829186)","('Fwd_Seg_Size_Min', 0.019281603)"
9,Feature_10,"('Flow_IAT_Min', 0.006603003802723726)","('ACK_Flag_Count', 0.02445749558583487)","('Flow_IAT_Min', 0.015088932)","('Flow_Duration', 0.012433011294675196)","('Fwd_Segment_Size_Mean', 0.032660903738813744)","('Bwd_IAT_Min', 0.017087637)"
10,Feature_11,"('Bwd_Total_Pkts', 0.0029883105173818523)","('Pkt_Length_Var', 0.023783868749938087)","('ACK_Flag_Count', 0.014325647)","('Fwd_IAT_Std', 0.011087447443921976)","('Fwd_Total_Bytes', 0.030377542967766423)","('Pkt_Length_Max', 0.01657273)"
11,Feature_12,"('Fwd_IAT_Min', 0.0028761942641698673)","('Pkt_Length_Std', 0.021294048247339072)","('FIN_Flag_Count', 0.009348762)","('Fwd_Seg_Size_Min', 0.010030692440445296)","('Pkt_Length_Max', 0.02936831908464482)","('Pkt_Size_Mean', 0.016486479)"
12,Feature_13,"('Bwd_IAT_Min', 0.0023791018853781126)","('Fwd_Pkt_Length_Std', 0.02073252955458309)","('Bwd_Pkts_Sec', 0.0075528543)","('Fwd_Pkt_Length_Mean', 0.0078019515570109535)","('UDP', 0.028523112838861022)","('Fwd_Total_Bytes', 0.011497983)"
13,Feature_14,"('FIN_Flag_Count', 0.0019367519173441384)","('Fwd_IAT_Max', 0.019892817275160218)","('Pkt_Length_Min', 0.004719238)","('Fwd_Pkt_Length_Max', 0.005791015685405688)","('URG_Flag_Count', 0.027737165104575554)","('FIN_Flag_Count', 0.008717683)"
14,Feature_15,"('Flow_Duration', 0.0016439510842582153)","('Fwd_IAT_Mean', 0.019830397859564433)","('Flow_Pkts_Sec', 0.004381954)","('Bwd_Pkts_Sec', 0.005745813019401004)","('Flow_Bytes_Sec', 0.026761281314610825)","('Fwd_Pkt_Length_Max', 0.0073853233)"
15,Feature_16,"('Bwd_Init_Win_Bytes', 0.0012727363232966828)","('Flow_IAT_Min', 0.01800453364269419)","('Fwd_IAT_Std', 0.0034736525)","('Flow_IAT_Mean', 0.005199308418246838)","('Fwd_IAT_Total', 0.02246230482002624)","('ACK_Flag_Count', 0.0064017163)"
16,Feature_17,"('Down_Up_Ratio', 0.00046482093778418566)","('Bwd_Init_Win_Bytes', 0.01678662209581723)","('Fwd_Total_Bytes', 0.0031199937)","('Flow_Pkts_Sec', 0.0039620893709784695)","('Fwd_IAT_Max', 0.019854118684876524)","('Fwd_Pkt_Length_Min', 0.0055901157)"
17,Feature_18,"('Bwd_Pkts_Sec', 0.00040905506724880436)","('Bwd_IAT_Max', 0.016559274147464133)","('Bwd_Init_Win_Bytes', 0.0026150525)","('Fwd_Subflow_Bytes', 0.003942504270713126)","('ACK_Flag_Count', 0.019722335273970906)","('PSH_Flag_Count', 0.0051120697)"
18,Feature_19,"('Flow_IAT_Mean', 0.00023800419760807787)","('Flow_Bytes_Sec', 0.014979116846456355)","('Fwd_Total_Pkts', 0.0020859162)","('Bwd_Init_Win_Bytes', 0.00321969422735423)","('Flow_Pkts_Sec', 0.01778740018168995)","('Fwd_Header_Length', 0.0043461067)"
19,Feature_20,"('Fwd_Total_Bytes', 0.0)","('Bwd_Subflow_Pkts', 0.014078309427678848)","('Flow_IAT_Mean', 0.0016584719)","('Bwd_Pkt_Length_Max', 0.0031403574446686937)","('Fwd_IAT_Mean', 0.017476281009637915)","('Fwd_IAT_Min', 0.0035295335)"
20,Feature_21,"('Bwd_Total_Bytes', 0.0)","('Pkt_Length_Max', 0.014022610731009)","('Fwd_Act_Data_Pkt', 0.001280534)","('Fwd_IAT_Min', 0.0027048548243771074)","('PSH_Flag_Count', 0.016441309941387445)","('Flow_Duration', 0.002528056)"
21,Feature_22,"('Fwd_Pkt_Length_Max', 0.0)","('Fwd_Segment_Size_Mean', 0.013975843805740053)","('Fwd_IAT_Min', 0.0010819503)","('Fwd_Header_Length_1', 0.0024926985542276688)","('Flow_IAT_Mean', 0.01549338997923374)","('Flow_Bytes_Sec', 0.002011648)"
22,Feature_23,"('Fwd_Pkt_Length_Min', 0.0)","('Flow_Pkts_Sec', 0.012601129030840368)","('Fwd_Pkt_Length_Min', 0.00087705144)","('Fwd_Total_Bytes', 0.0020808236379744834)","('Flow_Duration', 0.015251854544937868)","('Bwd_IAT_Mean', 0.0018647668)"
23,Feature_24,"('Fwd_Pkt_Length_Mean', 0.0)","('Fwd_Subflow_Bytes', 0.012261058303629236)","('Fwd_Pkt_Length_Mean', 0.00081584894)","('Fwd_Segment_Size_Mean', 0.0016826552971625876)","('Flow_IAT_Max', 0.01521011719946021)","('Fwd_PSH_Flags', 0.0017420301)"
24,Feature_25,"('Fwd_Pkt_Length_Std', 0.0)","('Flow_IAT_Mean', 0.01197542621823308)","('Down_Up_Ratio', 0.000734931)","('Pkt_Length_Mean', 0.0015739252439384277)","('Pkt_Length_Var', 0.013455874715392419)","('Fwd_Pkt_Length_Mean', 0.0017342514)"
25,Feature_26,"('Bwd_Pkt_Length_Max', 0.0)","('Pkt_Length_Mean', 0.011902794722357614)","('Fwd_Header_Length', 0.0007027074)","('Flow_IAT_Max', 0.0015256222693151768)","('Flow_IAT_Min', 0.013155173116556357)","('Bwd_Pkts_Sec', 0.0017194999)"
26,Feature_27,"('Bwd_Pkt_Length_Min', 0.0)","('CWE_Flag_Count', 0.011780406018639118)","('Flow_Bytes_Sec', 0.0006702637)","('Fwd_Pkts_Sec', 0.0012164416254233051)","('CWE_Flag_Count', 0.012180560048175304)","('Flow_Pkts_Sec', 0.0016456185)"
27,Feature_28,"('Bwd_Pkt_Length_Mean', 0.0)","('Bwd_Pkts_Sec', 0.011296672075812034)","('Bwd_IAT_Mean', 0.0006245777)","('Fwd_IAT_Mean', 0.0011875144148115106)","('Fwd_Act_Data_Pkt', 0.012109156141685524)","('SYN_Flag_Count', 0.0015213798)"
